new_id,max_date,defaut,Nbre_rejection_3M,Temps_écoulé,Mont_tot_sur_3M,SOLDE,Somme_Reject
1928-2,2023-12-18 23:00:00,0,0,999,0.0,0.0,0.0
1928-1,2022-07-03 22:00:00,0,0,999,0.0,0.0,0.0
1934-2,2024-02-25 23:00:00,0,0,999,24.449999999999996,-2364.8599999999997,0.0
1934-1,2022-07-18 22:00:00,0,0,999,0.0,81.44,0.0
1935-2,2024-02-11 23:00:00,0,0,999,-191.00000000000023,-1505.3100000000002,0.0
1935-1,2022-11-17 23:00:00,0,0,999,-62.12999999999984,-2449.8100000000013,0.0
1937-1,2022-05-29 22:00:00,0,0,999,5226.360000000001,-16179.919999999998,0.0
1938-1,2022-11-15 23:00:00,0,0,999,777.4400000000005,-1608.0399999999997,0.0
1940-2,2023-10-29 23:00:00,0,0,999,6048.179999999999,-15418.630000000001,0.0
1940-1,2022-08-04 22:00:00,0,0,999,-432.5399999999986,-25311.210000000003,0.0
1948-1,2022-07-14 22:00:00,0,0,999,219.13,552.4,0.0
1950-1,2022-10-16 22:00:00,0,0,999,3.3900000000000015,263.01,0.0
1954-1,2022-05-26 22:00:00,0,0,999,-31.959999999999994,1747.6299999999967,0.0
1957-1,2023-05-11 22:00:00,0,0,999,-96.57000000000002,-22.98999999999989,0.0
1958-1,2022-10-16 22:00:00,0,0,999,3.389999999999997,263.0100000000001,0.0
1960-1,2022-05-15 22:00:00,0,0,999,-222.28,-309.08000000000004,0.0
1964-2,2023-05-18 22:00:00,0,4,28,3119.760000000001,-11192.63,159.44
1964-1,2022-02-20 23:00:00,0,0,999,4559.71,-26618.250000000007,0.0
1968-1,2022-07-14 22:00:00,0,0,999,219.13,552.4000000000001,0.0
1976-1,2022-12-01 23:00:00,0,0,999,1051.3799999999997,-5508.54,0.0
1977-2,2024-02-15 23:00:00,0,0,999,1300.7300000000002,-4075.3699999999994,0.0
1977-1,2022-11-17 23:00:00,0,0,999,534.1600000000003,-4253.5700000000015,0.0
1981-4,2023-07-16 22:00:00,0,0,999,11263.689999999991,11336.860000000013,0.0
1981-3,2022-04-20 22:00:00,0,0,999,6270.000000000001,-13173.269999999933,0.0
1981-2,2021-01-24 23:00:00,0,0,999,4362.330000000001,-18971.01000000004,0.0
1981-1,2019-10-30 23:00:00,0,0,999,-687.1399999999996,-24743.620000000024,0.0
1983-2,2023-05-18 22:00:00,1,0,999,-215.85999999999973,-219.40000000000066,0.0
1983-1,2022-02-20 23:00:00,0,0,999,-2085.5999999999995,-415.1100000000009,0.0
1992-1,2023-11-01 23:00:00,0,0,999,3449.1800000000003,-15980.770000000002,0.0
2000-3,2023-07-16 22:00:00,0,0,999,5959.71,-3732.66000000002,0.0
2000-2,2022-04-20 22:00:00,0,0,999,670.5000000000007,-19039.30000000006,0.0
2000-1,2021-01-24 23:00:00,0,0,999,875.8400000000004,-25576.139999999985,0.0
2001-2,2024-02-25 23:00:00,0,0,999,-1217.8500000000001,-1223.9400000000005,0.0
2001-1,2022-12-01 23:00:00,0,0,999,-3418.15,-2625.7299999999886,0.0
2009-2,2024-03-03 23:00:00,0,0,999,1656.5000000000005,-7850.48,0.0
2009-1,2022-12-06 23:00:00,0,0,999,170.9000000000001,-12359.13,0.0
2012-2,2024-01-02 23:00:00,0,0,999,0.0,-407.53,0.0
