new_id,max_date,defaut,Nbre_rejection_3M,Somme_Reject,Temps_écoulé,Mont_tot_sur_3M,SOLDE
23745-2,2022-11-29 23:00:00,0,0,0.0,999,967.58,1919.0699999999997
23745-1,2021-04-07 22:00:00,0,0,0.0,999,0.0,4035.0
23757-5,2023-01-11 23:00:00,0,0,0.0,999,3949.350000000001,-9622.070000000003
23757-4,2021-10-17 22:00:00,0,0,0.0,999,4710.68,-25759.790000000008
23757-3,2020-07-23 22:00:00,0,0,0.0,999,3764.6800000000007,-41491.10000000001
23757-2,2019-04-29 22:00:00,0,0,0.0,999,4392.590000000002,-57952.360000000015
23757-1,2018-02-01 23:00:00,0,0,0.0,999,4375.030000000001,-83606.86000000002
23758-3,2023-01-11 23:00:00,0,0,0.0,999,2309.7200000000003,-15301.770000000004
23758-2,2021-10-17 22:00:00,0,0,0.0,999,2711.6299999999997,-28335.710000000017
23758-1,2020-07-23 22:00:00,0,0,0.0,999,-302.40999999999923,-42528.820000000014
23776-1,2022-12-13 23:00:00,0,0,0.0,999,45.37999999999954,-796.3799999999933
23778-5,2024-03-03 23:00:00,0,0,0.0,999,323.5199999999995,-3730.5799999999986
23778-4,2022-12-05 23:00:00,0,0,0.0,999,798.95,-5764.500000000002
23778-3,2021-09-13 22:00:00,0,0,0.0,999,564.72,-9132.15
23778-2,2020-06-18 22:00:00,0,0,0.0,999,577.4000000000001,-11762.78000000001
23778-1,2019-03-25 23:00:00,0,0,0.0,999,1156.23,-15594.020000000002
23796-1,2022-11-28 23:00:00,0,0,0.0,999,1463.7699999999993,-7287.410000000001
23803-1,2023-01-11 23:00:00,0,0,0.0,999,27.639999999999972,-1425.5200000000013
23817-1,2023-02-23 23:00:00,0,0,0.0,999,5722.209999999998,-10765.43999999999
23823-4,2023-01-09 23:00:00,0,0,0.0,999,1151.7000000000025,-433.4600000000037
23823-3,2021-10-14 22:00:00,0,0,0.0,999,-2041.96,-1066.0899999999915
23823-2,2020-07-19 22:00:00,0,0,0.0,999,1457.1000000000015,-3805.63999999998
23823-1,2019-04-23 22:00:00,0,0,0.0,999,424.0,-6783.640000000001
23853-1,2024-03-03 23:00:00,0,0,0.0,999,895.1499999999999,-5959.11
23858-1,2024-02-28 23:00:00,0,0,0.0,999,172.18,-830.0600000000001
23861-3,2023-03-27 22:00:00,0,0,0.0,999,-15740.370000000003,2063.3999999999996
23861-2,2021-12-30 23:00:00,0,0,0.0,999,-16648.600000000002,11240.37
23861-1,2020-10-06 22:00:00,0,0,0.0,999,3443.1800000000026,20811.71000000003
23863-1,2023-03-08 23:00:00,0,0,0.0,999,-4654.740000000001,679.1400000000049
23903-1,2024-03-04 23:00:00,0,0,0.0,999,1246.6699999999998,-8636.389999999994
23912-1,2022-12-15 23:00:00,0,0,0.0,999,-8020.5799999999945,4400.1900000000205
23913-1,2022-12-14 23:00:00,0,0,0.0,999,-11431.02,1365.62
23914-1,2022-12-13 23:00:00,0,0,0.0,999,-2439.9099999999994,542.9999999999991
23931-1,2022-12-14 23:00:00,0,4,372.83000000000004,55,951.4599999999995,-4914.830000000003
23947-1,2024-03-03 23:00:00,0,0,0.0,999,10588.82,-32366.290000000008
23954-1,2024-02-29 23:00:00,0,0,0.0,999,165.8,296.33
24023-1,2022-12-05 23:00:00,0,0,0.0,999,2925.620000000001,4762.879999999997
24024-1,2022-12-14 23:00:00,0,0,0.0,999,8425.919999999998,-22377.319999999996
24038-1,2022-11-29 23:00:00,0,0,0.0,999,409.66000000000065,1084.1300000000047
24060-1,2024-03-03 23:00:00,0,0,0.0,999,3054.51,-14168.74
24067-1,2022-12-15 23:00:00,1,1,151.34,70,1510.61,-7382.33
24069-1,2023-08-23 22:00:00,0,0,0.0,999,680.5999999999999,-5369.55
