new_id,max_date,defaut,Mont_positive_tot_sur_3M,Mont_negatif_tot_sur_3M,Nbre_rejection_3M,Somme_Reject,Temps_écoulé,SOLDE
1777-1,2023-10-11 22:00:00,0,12182.76,-9209.710000000001,0,0.0,999,-12216.939999999999
1778-2,2024-03-03 23:00:00,0,7453.97,-5127.76,0,0.0,999,-10063.390000000001
1778-1,2022-12-08 23:00:00,0,6138.99,-5358.470000000001,0,0.0,999,-17851.5
1780-3,2024-03-03 23:00:00,0,2417.12,-1051.21,0,0.0,999,-5479.680000000001
1780-2,2022-12-06 23:00:00,0,3258.1,-2574.5299999999993,0,0.0,999,-9737.07
1780-1,2021-09-09 22:00:00,0,6468.13,-26978.590000000004,0,0.0,999,-12624.66
1781-1,2023-07-16 22:00:00,0,160.0,0.0,0,0.0,999,-198.64
1785-2,2024-02-20 23:00:00,0,1929.92,-1831.06,0,0.0,999,-2049.8599999999997
1785-1,2022-11-09 23:00:00,0,15602.63,-14316.99,0,0.0,999,-2356.0599999999986
1789-1,2021-11-07 23:00:00,0,6663.929999999999,-23628.91,0,0.0,999,-5509.39
1794-1,2022-04-25 22:00:00,0,9784.25,-152.4,0,0.0,999,115626.32999999999
1795-1,2021-11-08 23:00:00,0,526045.57,-598900.89,0,0.0,999,136507.80000000005
1799-2,2024-03-03 23:00:00,0,0.0,0.0,0,0.0,999,2052.61
1799-1,2022-11-18 23:00:00,0,27219.300000000003,-25483.43,0,0.0,999,806.94
1804-1,2021-11-05 23:00:00,0,23063.27,-15643.349999999999,0,0.0,999,84.71000000002823
1805-2,2024-03-03 23:00:00,0,22095.2,-13218.490000000002,0,0.0,999,-23788.14
1805-1,2022-12-08 23:00:00,0,7457.95,-7196.24,0,0.0,999,-32392.689999999995
1809-1,2023-04-10 22:00:00,0,26.880000000000003,-3919.5,0,0.0,999,21279.59
1812-1,2022-05-17 22:00:00,0,23649.910000000003,-15645.370000000003,0,0.0,999,-4623.520000000002
1823-2,2024-03-03 23:00:00,0,4103.77,-3553.04,0,0.0,999,-227.71000000000208
1823-1,2022-12-08 23:00:00,0,7016.5,-2859.909999999999,0,0.0,999,-4989.380000000001
1825-1,2022-09-12 22:00:00,0,5313.85,-3725.41,0,0.0,999,-7020.360000000002
1826-2,2024-03-03 23:00:00,0,11383.710000000001,-7183.460000000001,0,0.0,999,-18647.070000000003
1826-1,2022-12-08 23:00:00,0,7539.43,-4537.780000000001,0,0.0,999,-35823.09
1829-2,2023-12-07 23:00:00,0,1637.4199999999998,-2593.84,0,0.0,999,-221.62999999999974
1829-1,2022-09-08 22:00:00,0,2835.71,-1396.67,0,0.0,999,-4412.519999999999
1832-3,2024-03-04 23:00:00,0,4020.8900000000003,-4181.67,0,0.0,999,-56.299999999998484
1832-2,2022-12-04 23:00:00,0,11768.34,-11760.61,0,0.0,999,-38.99999999999944
1832-1,2021-09-04 22:00:00,0,12737.830000000002,-12738.390000000001,0,0.0,999,-47.53999999999622
1835-1,2021-09-30 22:00:00,0,9402.12,-9436.97,0,0.0,999,1238.590000000001
1839-2,2024-02-29 23:00:00,0,5894.77,-5769.969999999999,0,0.0,999,-502.74000000000046
1839-1,2022-12-04 23:00:00,0,4839.58,-4498.74,0,0.0,999,-3072.06
1842-2,2024-02-27 23:00:00,0,3456.8199999999997,-3496.0,0,0.0,999,190.81999999999994
1842-1,2022-11-08 23:00:00,0,0.0,0.0,0,0.0,999,1494.03
1846-3,2024-03-03 23:00:00,0,15532.810000000001,-14648.899999999998,0,0.0,999,-4805.279999999997
1846-2,2022-12-07 23:00:00,0,9432.46,-9804.519999999999,0,0.0,999,-9187.730000000001
1846-1,2021-09-12 22:00:00,0,9947.37,-9294.060000000001,0,0.0,999,-11801.930000000002
1852-2,2024-03-03 23:00:00,0,124.0,-3860.6899999999996,0,0.0,999,-6664.650000000004
1852-1,2022-12-08 23:00:00,0,29327.75,-28115.430000000004,0,0.0,999,-15882.769999999991
1856-1,2023-05-16 22:00:00,0,43480.53,-33883.43,0,0.0,999,-28864.480000000003
1861-4,2024-02-29 23:00:00,0,9969.82,-10310.529999999999,0,0.0,999,1841.9299999999982
1861-3,2022-12-05 23:00:00,0,9296.960000000001,-9438.91,0,0.0,999,-107.79000000000102
1861-2,2021-09-09 22:00:00,0,10688.06,-10289.59,0,0.0,999,-187.2399999999981
1861-1,2020-06-16 22:00:00,0,6181.41,-6120.129999999999,0,0.0,999,-1462.5000000000011
1862-1,2023-09-07 22:00:00,0,5946.360000000001,-4919.5599999999995,0,0.0,999,-16083.5
1873-2,2024-01-21 23:00:00,0,0.0,0.0,0,0.0,999,50.52
1873-1,2022-05-26 22:00:00,0,0.0,0.0,0,0.0,999,50.52
1877-1,2022-07-12 22:00:00,0,2543.9100000000003,-2033.8400000000001,0,0.0,999,-3005.3700000000003
1893-2,2023-11-21 23:00:00,0,14591.52,-11273.250000000002,0,0.0,999,-19281.32
1893-1,2022-08-24 22:00:00,0,11671.32,-8115.919999999999,0,0.0,999,-35565.11
1899-1,2022-05-15 22:00:00,0,35826.28,-13916.05,0,0.0,999,3995.190000000019
1900-1,2023-11-01 23:00:00,0,401.71000000000004,-1244.73,0,0.0,999,-1349.35
1907-3,2024-02-29 23:00:00,0,3150.0,-3195.88,0,0.0,999,-17.989999999999924
1907-2,2022-12-04 23:00:00,0,928.1200000000001,-1397.48,0,0.0,999,-18.59000000000026
1907-1,2021-09-06 22:00:00,0,2874.49,-2420.7000000000003,0,0.0,999,-78.63000000000119
